2017-07-04 11:48:29 | 1717 | 127.0.0.1 |  | /index.php/membervip/tasklogic/save_create | POST=[] | ERROR | Unable to connect to the database
2017-07-04 11:48:45 | 1718 | 127.0.0.1 |  | /index.php/membervip/tasklogic/save_create | POST=[] | ERROR | Unable to connect to the database
2017-07-04 11:49:02 | 1717 | 127.0.0.1 |  | / | POST=[] | ERROR | Unable to connect to the database
2017-07-04 16:22:51 | 1717 | 127.0.0.1 |  | /a490782373.xlsx | POST=[] | ERROR | 404 Page Not Found: admin/A490782373xlsx/index
2017-07-04 16:24:10 | 1718 | 127.0.0.1 |  | /index.php/membervip/timingtask/test | POST=[] | ERROR | Unable to connect to the database
2017-07-04 16:24:38 | 1717 | 127.0.0.1 |  | /index.php/membervip/timingtask/test | POST=[] | ERROR | Unable to connect to the database
2017-07-04 16:25:39 | 1718 | 127.0.0.1 |  | /index.php/membervip/timingtask/test | POST=[] | ERROR | Unable to connect to the database
2017-07-04 16:35:11 | 1717 | 127.0.0.1 | 0019bfafb93dba2f5b6c58d4578968d83313e808 | /index.php/membervip/timingtask/test | POST=[] | E_ERROR | Call to protected method Public_model::do_xlsx_parser() from context 'TimingTask' | /private/home/www/30core/iwide3_0/controllers/front/membervip/Timingtask.php in 21
2017-07-04 16:35:59 | 1718 | 127.0.0.1 |  | /index.php/membervip/timingtask/test | POST=[] | ERROR | Unable to connect to the database
2017-07-04 16:36:12 | 1717 | 127.0.0.1 |  | /index.php/membervip/timingtask/test | POST=[] | ERROR | Unable to connect to the database
2017-07-04 16:37:36 | 1718 | 127.0.0.1 |  | /index.php/notify/notify/ajax_query_order?t=1499157384 | POST=[] | ERROR | Unable to connect to the database
2017-07-04 16:38:35 | 1717 | 127.0.0.1 |  | /index.php/notify/notify/ajax_query_order?t=1499157384 | POST=[] | ERROR | Unable to connect to the database
2017-07-04 16:39:35 | 1718 | 127.0.0.1 |  | /index.php/notify/notify/ajax_query_order?t=1499157384 | POST=[] | ERROR | Unable to connect to the database
2017-07-04 16:40:35 | 1717 | 127.0.0.1 |  | /index.php/notify/notify/ajax_query_order?t=1499157384 | POST=[] | ERROR | Unable to connect to the database
2017-07-04 16:41:35 | 1718 | 127.0.0.1 |  | /index.php/notify/notify/ajax_query_order?t=1499157384 | POST=[] | ERROR | Unable to connect to the database
2017-07-04 16:42:35 | 1717 | 127.0.0.1 |  | /index.php/notify/notify/ajax_query_order?t=1499157384 | POST=[] | ERROR | Unable to connect to the database
2017-07-04 16:43:35 | 1718 | 127.0.0.1 |  | /index.php/notify/notify/ajax_query_order?t=1499157384 | POST=[] | ERROR | Unable to connect to the database
2017-07-04 16:44:34 | 1717 | 127.0.0.1 |  | /index.php/notify/notify/ajax_query_order?t=1499157384 | POST=[] | ERROR | Unable to connect to the database
2017-07-04 16:45:35 | 1718 | 127.0.0.1 |  | /index.php/notify/notify/ajax_query_order?t=1499157384 | POST=[] | ERROR | Unable to connect to the database
2017-07-04 16:46:35 | 1717 | 127.0.0.1 |  | /index.php/notify/notify/ajax_query_order?t=1499157384 | POST=[] | ERROR | Unable to connect to the database
2017-07-04 17:38:08 | 1718 | 127.0.0.1 | 744273cfcedbfefb78feb30cf8d311dda6688cbc | /index.php/membervip/timingtask/test | POST=[] | ERROR | Session: Error while trying to free lock for ci_session:ad629528680b26d9e140659b2582f01b48a3303c:lock
2017-07-04 17:53:45 | 5221 | 127.0.0.1 | 2fbbae7ee7d3250fdb87e3c6cd72df3c5d442f7f | /index.php/membervip/timingtask/test | POST=[] | ERROR | Session: Error while trying to free lock for ci_session:51a5907d39bebd6235853e4b013bd9a5acb41561:lock
