2017-07-05 10:45:23 | 554 | 127.0.0.1 |  | /membervip/Tasklogic/auth | POST=[] | ERROR | Unable to connect to the database
2017-07-05 10:45:36 | 555 | 127.0.0.1 |  | /membervip/Tasklogic/auth | POST=[] | ERROR | Unable to connect to the database
2017-07-05 10:46:53 | 554 | 127.0.0.1 |  | /membervip/Tasklogic/auth | POST=[] | ERROR | Unable to connect to the database
2017-07-05 10:47:45 | 555 | 127.0.0.1 |  | /membervip/Tasklogic/auth | POST=[] | ERROR | Unable to connect to the database
2017-07-05 11:06:31 | 555 | 127.0.0.1 |  | /membervip/Tasklogic/auth | POST=[] | ERROR | Unable to connect to the database
2017-07-05 11:06:43 | 554 | 127.0.0.1 |  | /membervip/Tasklogic/auth | POST=[] | ERROR | Unable to connect to the database
2017-07-05 11:07:06 | 554 | 127.0.0.1 |  | /index.php/privilege/auth/login?redirect=http%3A%2F%2Fadmin.iwide.com%2Fmembervip%2FTasklogic%2Fauth | POST=[] | ERROR | Unable to connect to the database
2017-07-05 11:07:40 | 555 | 127.0.0.1 |  | / | POST=[] | ERROR | Unable to connect to the database
2017-07-05 11:08:03 | 554 | 127.0.0.1 |  | / | POST=[] | ERROR | Unable to connect to the database
2017-07-05 11:08:15 | 555 | 127.0.0.1 |  | / | POST=[] | ERROR | Unable to connect to the database
2017-07-05 11:08:30 | 554 | 127.0.0.1 |  | / | POST=[] | ERROR | Unable to connect to the database
2017-07-05 11:08:52 | 555 | 127.0.0.1 |  | /index.php/membervip/membercard/verifie | POST=[] | ERROR | Unable to connect to the database
2017-07-05 11:09:41 | 554 | 127.0.0.1 |  | /index.php/membervip/membercard/verifie | POST=[] | ERROR | Unable to connect to the database
2017-07-05 11:10:53 | 555 | 127.0.0.1 |  | /index.php/membervip/membercard/verifie | POST=[] | ERROR | Unable to connect to the database
2017-07-05 11:11:14 | 554 | 127.0.0.1 |  | /index.php/membervip/membercard/verifie | POST=[] | ERROR | Unable to connect to the database
2017-07-05 11:11:30 | 555 | 127.0.0.1 |  | /index.php/membervip/membercard/verifie | POST=[] | ERROR | Unable to connect to the database
2017-07-05 11:12:26 | 554 | 127.0.0.1 |  | /index.php/membervip/membercard/verifie | POST=[] | ERROR | Unable to connect to the database
2017-07-05 11:12:39 | 555 | 127.0.0.1 |  | /index.php/membervip/membercard/verifie | POST=[] | ERROR | Unable to connect to the database
2017-07-05 11:13:34 | 554 | 127.0.0.1 |  | /index.php/membervip/membercard/verifie | POST=[] | ERROR | Unable to connect to the database
2017-07-05 11:13:51 | 555 | 127.0.0.1 |  | /index.php/membervip/membercard/verifie | POST=[] | ERROR | Unable to connect to the database
2017-07-05 11:14:20 | 554 | 127.0.0.1 |  | / | POST=[] | ERROR | Unable to connect to the database
2017-07-05 11:14:53 | 555 | 127.0.0.1 |  | /index.php/membervip/center?id=a484619482&openid=oncyNv3hjnbgxeXCJknoro6D6Ki0 | POST=[] | ERROR | Unable to connect to the database
2017-07-05 11:15:13 | 554 | 127.0.0.1 |  | / | POST=[] | ERROR | Unable to connect to the database
2017-07-05 11:17:22 | 554 | 127.0.0.1 |  | / | POST=[] | ERROR | Unable to connect to the database
2017-07-05 11:18:13 | 555 | 127.0.0.1 |  | / | POST=[] | ERROR | Unable to connect to the database
2017-07-05 11:52:53 | 1544 | 127.0.0.1 |  | /iapi/membervip/Tasklogic/auth | POST=[] | ERROR | 404 Page Not Found: admin/Iapi/membervip
