2017-07-04 17:25:23 | 1718 | 127.0.0.1 | 744273cfcedbfefb78feb30cf8d311dda6688cbc | /index.php/membervip/timingtask/test | POST=[] | result: null | url: http://api.iwide.com/api/intercard/receive | data: {"token":"","inter_id":"a490782373","openid":"oa7xWwswW0Djk4Kh31n_r6c_LKFE","card_id":2377362,"uu_code":"1a348a8a2e3222cdf3ca9ed1860fe3e21499160318.13853","module":"vip","scene":"\u53e4\u57ce\u70e4\u5427\u97e9\u9910\u5385"}
2017-07-04 17:25:28 | 1718 | 127.0.0.1 | 744273cfcedbfefb78feb30cf8d311dda6688cbc | /index.php/membervip/timingtask/test | POST=[] | result: null | url: http://api.iwide.com/api/intercard/receive | data: {"token":"","inter_id":"a490782373","openid":"oa7xWwswW0Djk4Kh31n_r6c_LKFE","card_id":2377362,"uu_code":"5dce4bccfc6c93170e3b04c7feb6c2f71499160323.145369","module":"vip","scene":"\u53e4\u57ce\u70e4\u5427\u97e9\u9910\u5385"}
2017-07-04 17:25:33 | 1718 | 127.0.0.1 | 744273cfcedbfefb78feb30cf8d311dda6688cbc | /index.php/membervip/timingtask/test | POST=[] | result: null | url: http://api.iwide.com/api/intercard/receive | data: {"token":"","inter_id":"a490782373","openid":"oa7xWwswW0Djk4Kh31n_r6c_LKFE","card_id":2377362,"uu_code":"dce2936c6d687df610b5cad69756ece51499160328.147454","module":"vip","scene":"\u53e4\u57ce\u70e4\u5427\u97e9\u9910\u5385"}
2017-07-04 17:25:38 | 1718 | 127.0.0.1 | 744273cfcedbfefb78feb30cf8d311dda6688cbc | /index.php/membervip/timingtask/test | POST=[] | result: null | url: http://api.iwide.com/api/intercard/receive | data: {"token":"","inter_id":"a490782373","openid":"oa7xWwswW0Djk4Kh31n_r6c_LKFE","card_id":2377362,"uu_code":"ba42a1e0947580089ae29c302beb375c1499160333.149791","module":"vip","scene":"\u53e4\u57ce\u70e4\u5427\u97e9\u9910\u5385"}
2017-07-04 17:25:43 | 1718 | 127.0.0.1 | 744273cfcedbfefb78feb30cf8d311dda6688cbc | /index.php/membervip/timingtask/test | POST=[] | result: null | url: http://api.iwide.com/api/intercard/receive | data: {"token":"","inter_id":"a490782373","openid":"oa7xWwjYpklPTS-9M-eoTDowIsjg","card_id":2377362,"uu_code":"2d555c213e8ae7bb6654d0c642ba6f781499160338.152603","module":"vip","scene":"\u53e4\u57ce\u70e4\u5427\u97e9\u9910\u5385"}
2017-07-04 17:25:48 | 1718 | 127.0.0.1 | 744273cfcedbfefb78feb30cf8d311dda6688cbc | /index.php/membervip/timingtask/test | POST=[] | result: null | url: http://api.iwide.com/api/intercard/receive | data: {"token":"","inter_id":"a490782373","openid":"oa7xWwjYpklPTS-9M-eoTDowIsjg","card_id":2377362,"uu_code":"7ed04fcd4a17ea39a5c42c8815f1c1221499160343.154076","module":"vip","scene":"\u53e4\u57ce\u70e4\u5427\u97e9\u9910\u5385"}
2017-07-04 17:25:53 | 1718 | 127.0.0.1 | 744273cfcedbfefb78feb30cf8d311dda6688cbc | /index.php/membervip/timingtask/test | POST=[] | result: null | url: http://api.iwide.com/api/intercard/receive | data: {"token":"","inter_id":"a490782373","openid":"oa7xWwozqrEf1DpFsM3OCuOxwD2U","card_id":2377362,"uu_code":"1eb07ae5a312355b780942e8df09f5241499160348.15695","module":"vip","scene":"\u53e4\u57ce\u70e4\u5427\u97e9\u9910\u5385"}
2017-07-04 17:25:58 | 1718 | 127.0.0.1 | 744273cfcedbfefb78feb30cf8d311dda6688cbc | /index.php/membervip/timingtask/test | POST=[] | result: null | url: http://api.iwide.com/api/intercard/receive | data: {"token":"","inter_id":"a490782373","openid":"oa7xWwozqrEf1DpFsM3OCuOxwD2U","card_id":2377362,"uu_code":"7e1a0ef8984a9ab1fc98aa0c5d1293961499160353.159614","module":"vip","scene":"\u53e4\u57ce\u70e4\u5427\u97e9\u9910\u5385"}
2017-07-04 17:26:03 | 1718 | 127.0.0.1 | 744273cfcedbfefb78feb30cf8d311dda6688cbc | /index.php/membervip/timingtask/test | POST=[] | result: null | url: http://api.iwide.com/api/intercard/receive | data: {"token":"","inter_id":"a490782373","openid":"oa7xWwozqrEf1DpFsM3OCuOxwD2U","card_id":2377362,"uu_code":"a5a71c4b42903f1d9ad6b95d412e43391499160358.162836","module":"vip","scene":"\u53e4\u57ce\u70e4\u5427\u97e9\u9910\u5385"}
2017-07-04 17:26:08 | 1718 | 127.0.0.1 | 744273cfcedbfefb78feb30cf8d311dda6688cbc | /index.php/membervip/timingtask/test | POST=[] | result: null | url: http://api.iwide.com/api/intercard/receive | data: {"token":"","inter_id":"a490782373","openid":"oa7xWwozqrEf1DpFsM3OCuOxwD2U","card_id":2377362,"uu_code":"cf82ff168acd0003b41997ca5d8b79841499160363.163908","module":"vip","scene":"\u53e4\u57ce\u70e4\u5427\u97e9\u9910\u5385"}
2017-07-04 17:26:13 | 1718 | 127.0.0.1 | 744273cfcedbfefb78feb30cf8d311dda6688cbc | /index.php/membervip/timingtask/test | POST=[] | result: null | url: http://api.iwide.com/api/intercard/receive | data: {"token":"","inter_id":"a490782373","openid":"oa7xWwrcV3Y2WzQGU9TvipUz2Ckc","card_id":2377362,"uu_code":"43a87fb26c8db4a432e2f0c78774716b1499160368.165749","module":"vip","scene":"\u53e4\u57ce\u70e4\u5427\u97e9\u9910\u5385"}
2017-07-04 17:26:18 | 1718 | 127.0.0.1 | 744273cfcedbfefb78feb30cf8d311dda6688cbc | /index.php/membervip/timingtask/test | POST=[] | result: null | url: http://api.iwide.com/api/intercard/receive | data: {"token":"","inter_id":"a490782373","openid":"oa7xWwrcV3Y2WzQGU9TvipUz2Ckc","card_id":2377362,"uu_code":"906937c497e35af2a296253dc9ce17191499160373.16817","module":"vip","scene":"\u53e4\u57ce\u70e4\u5427\u97e9\u9910\u5385"}
2017-07-04 17:26:23 | 1718 | 127.0.0.1 | 744273cfcedbfefb78feb30cf8d311dda6688cbc | /index.php/membervip/timingtask/test | POST=[] | result: null | url: http://api.iwide.com/api/intercard/receive | data: {"token":"","inter_id":"a490782373","openid":"oa7xWwjnfMOT8yW-YxDancFJ06m8","card_id":2377362,"uu_code":"ee4f440b281e8f18c4388889d3ffd7cf1499160378.17572","module":"vip","scene":"\u53e4\u57ce\u70e4\u5427\u97e9\u9910\u5385"}
2017-07-04 17:26:28 | 1718 | 127.0.0.1 | 744273cfcedbfefb78feb30cf8d311dda6688cbc | /index.php/membervip/timingtask/test | POST=[] | result: null | url: http://api.iwide.com/api/intercard/receive | data: {"token":"","inter_id":"a490782373","openid":"oa7xWwjnfMOT8yW-YxDancFJ06m8","card_id":2377362,"uu_code":"6807eabe7bf440dab0426ff9558302791499160383.178139","module":"vip","scene":"\u53e4\u57ce\u70e4\u5427\u97e9\u9910\u5385"}
2017-07-04 17:26:33 | 1718 | 127.0.0.1 | 744273cfcedbfefb78feb30cf8d311dda6688cbc | /index.php/membervip/timingtask/test | POST=[] | result: null | url: http://api.iwide.com/api/intercard/receive | data: {"token":"","inter_id":"a490782373","openid":"oa7xWwsEoJUoXjE7TDZzQU0xhyFg","card_id":2377362,"uu_code":"f712acaa51c5348556a9e1da0a967e161499160388.180833","module":"vip","scene":"\u53e4\u57ce\u70e4\u5427\u97e9\u9910\u5385"}
2017-07-04 17:26:38 | 1718 | 127.0.0.1 | 744273cfcedbfefb78feb30cf8d311dda6688cbc | /index.php/membervip/timingtask/test | POST=[] | result: null | url: http://api.iwide.com/api/intercard/receive | data: {"token":"","inter_id":"a490782373","openid":"oa7xWwsEoJUoXjE7TDZzQU0xhyFg","card_id":2377362,"uu_code":"feee088f2cb24aab35954d66843e94a11499160393.183498","module":"vip","scene":"\u53e4\u57ce\u70e4\u5427\u97e9\u9910\u5385"}
2017-07-04 17:26:43 | 1718 | 127.0.0.1 | 744273cfcedbfefb78feb30cf8d311dda6688cbc | /index.php/membervip/timingtask/test | POST=[] | result: null | url: http://api.iwide.com/api/intercard/receive | data: {"token":"","inter_id":"a490782373","openid":"oa7xWwgB41p54jLuMm2DJYcppD10","card_id":2377361,"uu_code":"72d5be6e061c81a0d2ba9db114b869e01499160398.18665","module":"vip","scene":"\u6cf0\u9910\u5385"}
2017-07-04 17:26:48 | 1718 | 127.0.0.1 | 744273cfcedbfefb78feb30cf8d311dda6688cbc | /index.php/membervip/timingtask/test | POST=[] | result: null | url: http://api.iwide.com/api/intercard/receive | data: {"token":"","inter_id":"a490782373","openid":"oa7xWwgB41p54jLuMm2DJYcppD10","card_id":2377361,"uu_code":"708aab4357508dd136483449e11aed541499160403.189509","module":"vip","scene":"\u6cf0\u9910\u5385"}
2017-07-04 17:26:53 | 1718 | 127.0.0.1 | 744273cfcedbfefb78feb30cf8d311dda6688cbc | /index.php/membervip/timingtask/test | POST=[] | result: null | url: http://api.iwide.com/api/intercard/receive | data: {"token":"","inter_id":"a490782373","openid":"oa7xWwgB41p54jLuMm2DJYcppD10","card_id":2377361,"uu_code":"5a26c7808662a50e5db2fc617d56fc241499160408.190926","module":"vip","scene":"\u6cf0\u9910\u5385"}
2017-07-04 17:26:58 | 1718 | 127.0.0.1 | 744273cfcedbfefb78feb30cf8d311dda6688cbc | /index.php/membervip/timingtask/test | POST=[] | result: null | url: http://api.iwide.com/api/intercard/receive | data: {"token":"","inter_id":"a490782373","openid":"oa7xWwgB41p54jLuMm2DJYcppD10","card_id":2377361,"uu_code":"bf5470de856dd1a42004727c418438b01499160413.194022","module":"vip","scene":"\u6cf0\u9910\u5385"}
2017-07-04 17:27:03 | 1718 | 127.0.0.1 | 744273cfcedbfefb78feb30cf8d311dda6688cbc | /index.php/membervip/timingtask/test | POST=[] | result: null | url: http://api.iwide.com/api/intercard/receive | data: {"token":"","inter_id":"a490782373","openid":"oa7xWwgB41p54jLuMm2DJYcppD10","card_id":2377361,"uu_code":"e7b9f413f5ae3a6bf2be1443e05d46651499160418.197051","module":"vip","scene":"\u6cf0\u9910\u5385"}
