2017-07-04 17:25:23 | 1718 | 127.0.0.1 | 744273cfcedbfefb78feb30cf8d311dda6688cbc | /index.php/membervip/timingtask/test | POST=[] | Total: 6 | 4 | open_id: oa7xWwswW0Djk4Kh31n_r6c_LKFE | success_count: 0 | fail_count: 1
2017-07-04 17:25:28 | 1718 | 127.0.0.1 | 744273cfcedbfefb78feb30cf8d311dda6688cbc | /index.php/membervip/timingtask/test | POST=[] | Total: 6 | 4 | open_id: oa7xWwswW0Djk4Kh31n_r6c_LKFE | success_count: 0 | fail_count: 2
2017-07-04 17:25:33 | 1718 | 127.0.0.1 | 744273cfcedbfefb78feb30cf8d311dda6688cbc | /index.php/membervip/timingtask/test | POST=[] | Total: 6 | 4 | open_id: oa7xWwswW0Djk4Kh31n_r6c_LKFE | success_count: 0 | fail_count: 3
2017-07-04 17:25:38 | 1718 | 127.0.0.1 | 744273cfcedbfefb78feb30cf8d311dda6688cbc | /index.php/membervip/timingtask/test | POST=[] | Total: 6 | 4 | open_id: oa7xWwswW0Djk4Kh31n_r6c_LKFE | success_count: 0 | fail_count: 4
2017-07-04 17:25:43 | 1718 | 127.0.0.1 | 744273cfcedbfefb78feb30cf8d311dda6688cbc | /index.php/membervip/timingtask/test | POST=[] | Total: 6 | 2 | open_id: oa7xWwjYpklPTS-9M-eoTDowIsjg | success_count: 0 | fail_count: 5
2017-07-04 17:25:48 | 1718 | 127.0.0.1 | 744273cfcedbfefb78feb30cf8d311dda6688cbc | /index.php/membervip/timingtask/test | POST=[] | Total: 6 | 2 | open_id: oa7xWwjYpklPTS-9M-eoTDowIsjg | success_count: 0 | fail_count: 6
2017-07-04 17:25:53 | 1718 | 127.0.0.1 | 744273cfcedbfefb78feb30cf8d311dda6688cbc | /index.php/membervip/timingtask/test | POST=[] | Total: 6 | 4 | open_id: oa7xWwozqrEf1DpFsM3OCuOxwD2U | success_count: 0 | fail_count: 7
2017-07-04 17:25:58 | 1718 | 127.0.0.1 | 744273cfcedbfefb78feb30cf8d311dda6688cbc | /index.php/membervip/timingtask/test | POST=[] | Total: 6 | 4 | open_id: oa7xWwozqrEf1DpFsM3OCuOxwD2U | success_count: 0 | fail_count: 8
2017-07-04 17:26:03 | 1718 | 127.0.0.1 | 744273cfcedbfefb78feb30cf8d311dda6688cbc | /index.php/membervip/timingtask/test | POST=[] | Total: 6 | 4 | open_id: oa7xWwozqrEf1DpFsM3OCuOxwD2U | success_count: 0 | fail_count: 9
2017-07-04 17:26:08 | 1718 | 127.0.0.1 | 744273cfcedbfefb78feb30cf8d311dda6688cbc | /index.php/membervip/timingtask/test | POST=[] | Total: 6 | 4 | open_id: oa7xWwozqrEf1DpFsM3OCuOxwD2U | success_count: 0 | fail_count: 10
2017-07-04 17:26:13 | 1718 | 127.0.0.1 | 744273cfcedbfefb78feb30cf8d311dda6688cbc | /index.php/membervip/timingtask/test | POST=[] | Total: 6 | 2 | open_id: oa7xWwrcV3Y2WzQGU9TvipUz2Ckc | success_count: 0 | fail_count: 11
