商城订单号,用户openid
1000322993,oa1h7uA0X_80AFdeTS9iPHFUV7wY
1000322982,oa1h7uA3eTk6S28ovRsEyswAzZ5c
,oa1h7uA4am_af3ky89GmwQdxKzcw
,oa1h7uA5sVBEvmmiAfz8PpBPCkAc
,oa1h7uA8ACAJPxI2v1oGu39P4Te0
,oa1h7uA9IkzYziVJBmOuCeShgH0Y
,oa1h7uAAEoAf9TQl6mvdKyo6hV6U
,oa1h7uAfrP9xvptUhQ7dTlpC21m8
,oa1h7uAftqGTzb_ZCl9r-VTecCV4
,oa1h7uAfZb1cEag-rS9IEcVBbNwE
,oa1h7uA_GDyxhIzZU44BoCGA5RU4
,oa1h7uAIdluERrQD_6AqDG4Ec2Z4
,oa1h7uAKBm_3AglAAKWK8do50WJM
,oa1h7uAqGwFQVGQLp2AOQ96RCjkQ
,oa1h7uAqpXDMq0MqTtMhPndoJeOw
,oa1h7uAqTKRLtsOtvbJNn1tiutSo
,oa1h7uAsq4vnpVxNL5SzBMSV0lWo
,oa1h7uB7RHkY0SVi4zJyTA6sxXL8
,oa1h7uB7TM1uX2YwmS90z8ewjYpM
,oa1h7uBCE3pHzxodva5qLOMArBO8
,oa1h7uBcoVKavq4r8cs22XLo11B0
,oa1h7uBEcqJlrC0tqfbzbFpxSwjA
,oa1h7uBEF_pvff9VMoD1rEt4TACE
,oa1h7uBiAkW9XW34zbGIuS3eeUYQ
,oa1h7uBjJ46NSu0zKbmzedRgX6cI
,oa1h7uBjz5FzuGKTBKzl7lfvUWYU
,oa1h7uBMuKcgMzIGOV-1qP6bYgj0
,oa1h7uB_pzU9Ys4WkMSnKFeLT6-E
,oa1h7uBqnvmA51y9a1oRBg_BOR_Q
,oa1h7uBr4IMjCKsesisITztmaus0
,oa1h7uBS6blpilZaMOOE3jm3gnO0
,oa1h7uBskrkmx71dr5x3CC3-LIfY
,oa1h7uBvTYzr26JW9XCK2VfRlra0
,oa1h7uBW7Plk7A4OqTI61iGKhq8U
,oa1h7uC6iJiAG8tw6C_DHCoFjahI
,oa1h7uChOmxl3APFpZGsQ7X-lsOk
,oa1h7uCIZKXHS-6rrlEFT8ldhQME
,oa1h7uCJH4ufYP-RZSckGFlmu81A
,oa1h7uCK3TlsNBYGFB1vnQwuxFC0
,oa1h7uCOl0MHViv6NklmYs_Cy8MU
,oa1h7uCouUNJD3axD3jisymndz4c
,oa1h7uCPdSem0oxR3Jbq34ItZhZY
,oa1h7uCQSvjv_XN4syLj1hjgXoME
,oa1h7uCSpfwlVLks94fxK0XAmrDc
,oa1h7uCUiNXQvISBuMVWoImAQH40
,oa1h7uCv2gYK8orgtdo9PwuZQoa8
,oa1h7uCWP_pbbJ1Rx937Z5ab0Swo
,oa1h7uCZHOVvbjAtist29SFAPjwk
,oa1h7uCz-u9-j-ZySwCvcmdehpno
,oa1h7uD2B0_a7EHRJ26KMre_gAwk
,oa1h7uD2XptOdCn75tYHRzfUDIdQ
,oa1h7uDA7CksHgzJ4mLsrLHg9wwk
,oa1h7uDfnCpNYWUZYc3AXpigJ6lQ
,oa1h7uDIoxGg8-d1prvwPtwCnlwo
,oa1h7uDMJuyrEnkQkb7wKbl5Qs6c
,oa1h7uDMtB6_37BOR0NpLcTKlkq0
,oa1h7uDmtL5p8Vj9IJw9M91hs9cA
,oa1h7uDn9yjsD568F7z2BYVHZ_NY
,oa1h7uDqQxbZDJ3ZZBGv4YRcprNw
,oa1h7uDTsp2o9CngS_NuRfHiT71E
,oa1h7uDUVi-1tvo-LE0SDxQr1PCQ
,oa1h7uDwizSwK6ADUnaMwLL1tMGQ
,oa1h7uDy6i4UTRpuwfc3Lp3Evw4w
,oa1h7uDZoPkfbE3q1GarTAnJeuVc
,oa1h7uDZYa5TnXdrRYAl6QOtEMOc
,oa1h7uE0gbiaDHFL0H6scheRzUSA
,oa1h7uE3r2nMUTsbx0e_Ofp_mUSk
